Energy Burden (% income),Avg. Annual Energy Cost ($),Total Households,Household Income,Black/ African American (% pop.),American Indian/ Native Alaskan (% pop.),Asian (% pop.),Native Hawaiian/ Other Pacific Islander (% pop.),White Hispanic or Latino (% pop.),White Non-Hispanic or Latino (% pop.),Two or More Races (% pop.),Other Races (% pop.),Less Than High School (% pop.),High School (% pop.),Associates or Some College (% pop.),Bachelors or Higher (% pop.)
1,2000,1898,171420,2,0,22,0,7,67,2,0,2,7,18,73
2,1875,1824,76259,17,0,1,0,7,68,5,2,24,11,35,30
2,1955,1214,85340,15,1,5,0,16,46,14,2,7,26,31,36
2,2190,1277,95852,14,0,8,0,23,47,6,2,6,16,42,35
2,2382,2106,136243,4,0,5,0,6,76,6,4,2,11,27,61
2,2048,2573,124088,10,1,10,1,6,57,15,1,2,7,19,72
2,2183,2349,118578,12,0,19,0,10,55,4,1,1,11,36,52
2,2276,1077,119391,8,0,17,0,19,54,3,0,1,16,32,52
2,1584,1270,73629,8,0,17,0,20,45,7,2,10,16,33,40
2,2359,1771,128349,4,1,11,0,6,74,3,0,2,9,35,55
2,2545,891,148237,3,0,8,0,2,78,8,0,2,9,21,68
2,2196,1889,109315,7,0,18,0,6,65,1,3,10,13,26,52
2,2221,1452,100317,10,1,4,0,16,65,5,1,7,7,38,48
2,2217,1294,101492,6,1,5,0,20,64,3,1,8,12,24,56
2,2309,1497,131291,7,0,18,0,5,57,12,1,3,2,23,72
2,1826,1926,112298,9,0,13,1,16,43,18,0,3,11,40,46
2,1642,2449,86014,25,0,12,0,7,50,3,4,9,15,26,50
2,2347,1444,111778,7,0,13,0,11,64,5,0,2,8,38,52
2,1994,1111,94131,4,0,14,0,13,60,4,6,3,15,29,54
2,1743,1691,90628,16,0,21,0,13,41,8,1,4,13,26,56
2,2348,2918,133697,6,2,23,0,5,57,4,3,2,3,18,77
1,1947,2385,158510,6,0,41,1,6,41,2,3,0,5,17,77
1,2317,2122,186910,3,0,59,0,3,31,2,0,1,1,7,91
2,2373,1724,156860,11,1,28,0,1,50,9,1,1,6,21,72
2,1840,1861,112729,7,0,29,0,7,53,2,0,3,13,27,58
1,2589,622,200406,5,0,17,0,5,68,2,2,1,1,11,87
1,2389,1995,207086,6,0,20,1,1,65,4,3,0,4,15,81
1,1835,1369,147136,7,1,18,0,5,64,5,1,4,5,19,71
1,2103,2241,162490,9,0,19,0,5,64,4,0,1,8,11,79
1,2847,1455,215762,7,0,20,0,2,55,16,1,1,6,18,75
2,1797,2044,108748,6,0,19,0,1,63,5,5,1,3,29,67
1,907,1612,92752,17,0,25,0,9,41,6,1,0,7,26,67
1,1305,1023,87207,4,1,48,0,4,33,8,1,3,9,16,72
1,1432,1671,142018,3,1,69,1,1,21,3,1,1,9,12,78
1,2186,1102,190031,7,0,43,0,5,39,4,1,1,4,10,85
1,2410,1448,183436,8,2,35,0,3,43,6,3,2,7,16,75
1,2355,1296,166443,9,4,42,0,1,41,1,3,1,9,23,67
1,2786,1254,193921,6,0,37,0,6,49,2,0,3,3,11,83
1,1148,1317,86592,18,0,36,0,7,29,9,1,2,6,25,68
1,1977,2076,161447,10,0,36,0,5,42,5,2,9,2,30,60
1,2446,1175,166411,4,0,15,0,4,68,8,1,1,1,18,80
1,2990,1986,253411,5,0,13,0,1,78,2,1,1,3,6,90
1,1906,922,157113,14,0,25,0,9,49,2,0,2,10,21,67
1,994,446,112228,5,0,9,1,6,69,11,0,0,0,25,75
1,944,1633,77729,16,0,11,0,9,58,4,3,0,7,27,66
1,1223,1106,107247,14,0,22,0,1,62,1,1,1,8,34,56
1,1203,1347,87137,8,0,58,0,0,27,2,4,1,11,18,70
1,1907,1845,142651,8,0,34,0,7,41,9,2,1,8,28,63
2,2307,933,135183,16,1,36,0,5,37,6,1,0,10,16,75
2,2167,1711,142082,13,0,11,0,3,66,6,0,0,16,16,68
1,2789,984,222315,1,0,23,0,11,63,2,0,0,5,16,80
1,2746,1047,183846,2,0,16,1,3,76,2,0,2,3,17,78
1,2643,821,190759,3,0,58,0,8,26,6,0,0,6,14,80
1,2607,1270,223918,2,0,56,0,2,39,1,1,0,1,8,91
2,2399,898,119382,5,0,14,0,4,75,2,1,2,4,21,73
2,2084,1627,126979,8,0,13,0,4,69,4,2,2,3,21,74
2,2025,1653,133498,5,1,9,0,8,55,12,9,0,10,30,60
1,3048,853,233162,1,1,4,0,2,91,1,0,0,9,17,74
2,1921,2131,105572,19,0,9,0,6,57,6,4,1,9,31,58
2,1887,2043,107699,18,0,26,0,3,34,12,6,0,8,23,69
2,2130,1550,134305,14,1,7,0,7,61,6,4,2,6,30,62
2,1247,2521,72346,25,0,4,0,8,32,8,24,2,17,37,44
1,2546,1122,170626,7,0,9,0,11,67,5,1,0,7,21,71
1,1707,1453,123166,10,0,14,1,5,59,8,4,2,7,30,60
1,1659,1041,112434,10,1,14,0,5,54,3,13,2,9,41,48
2,2483,967,146819,3,0,11,2,9,66,4,5,0,7,27,66
2,2094,865,123398,6,0,21,1,6,65,2,1,3,6,22,69
2,1161,1717,46720,15,0,37,0,3,14,11,20,18,16,26,40
2,2301,986,121206,12,0,8,0,3,64,12,1,0,6,16,78
2,980,1723,63244,29,0,8,0,7,32,4,20,0,10,52,39
2,1158,1626,50459,33,0,1,0,12,13,15,26,1,14,33,52
2,1380,1421,76900,21,0,6,0,9,36,12,15,1,22,24,54
1,1157,1350,81835,21,0,37,0,7,21,11,2,4,6,19,70
2,2137,2128,100347,2,0,6,0,2,82,7,0,4,7,29,59
2,2594,1481,128597,0,0,5,0,7,78,4,6,5,10,30,55
2,1301,559,84883,32,2,20,0,13,33,0,0,7,18,53,22
2,1164,758,67136,4,0,35,0,2,53,5,0,0,8,26,66
1,813,997,71090,2,0,24,0,8,58,4,3,0,9,33,58
1,907,686,107655,0,0,12,0,2,83,2,0,3,3,17,77
5,1182,280,22214,9,0,26,0,16,41,4,4,3,14,51,32
2,2248,811,133852,2,5,3,0,14,72,3,1,5,3,26,66
2,1939,1684,123591,7,2,8,0,2,76,4,1,1,6,26,67
2,2406,912,148628,0,0,12,0,5,60,21,0,0,4,18,78
1,1074,1399,77205,22,2,7,0,17,35,11,5,10,12,34,44
2,1362,1383,80537,17,1,5,0,35,35,5,2,15,12,27,45
1,1057,402,85455,38,0,11,0,1,44,3,2,0,4,26,71
1,766,1086,94837,11,0,14,0,7,46,7,14,5,8,34,53
3,1594,2051,53337,3,2,2,0,52,32,5,4,28,27,28,17
2,2250,1514,106906,7,0,10,0,15,60,4,3,4,16,28,51
2,1789,2046,79935,13,0,16,0,23,26,20,1,12,24,30,34
3,2058,1200,62250,6,1,1,0,60,24,4,4,25,18,20,37
2,1927,2077,89998,13,0,23,0,32,23,7,1,11,18,22,48
3,1876,1164,74845,5,0,0,0,53,16,22,3,41,10,37,12
2,2054,1150,92153,26,0,0,0,13,59,2,0,2,9,52,37
1,2125,858,150859,13,0,44,0,8,34,1,0,0,10,5,85
2,2087,1776,134956,11,0,36,1,4,43,5,0,1,12,20,67
2,2272,1315,133518,14,1,12,0,7,66,0,0,0,11,36,54
1,3154,997,229144,6,0,34,0,3,51,4,1,0,4,16,79
1,2080,1797,185486,8,0,3,0,5,77,5,1,5,5,10,80
1,2285,1278,218883,2,0,0,0,6,90,1,0,1,6,12,80
1,1965,1850,173094,2,1,2,0,10,78,6,1,1,10,15,74
1,2021,2111,154662,3,0,1,0,7,83,5,1,2,6,15,76
2,1429,1781,68957,19,0,6,0,29,34,3,9,22,10,19,49
2,1155,1290,68376,36,0,3,0,32,27,1,1,13,19,30,38
2,1489,954,95631,6,0,6,0,58,28,1,0,16,23,17,43
2,1304,1480,86773,7,0,11,0,18,54,6,4,3,4,25,68
1,928,2270,66352,10,0,20,0,19,32,13,7,0,10,6,84
3,2779,1541,94764,2,0,0,0,57,22,11,8,66,22,9,3
1,993,1495,83295,13,0,18,0,21,41,4,3,0,4,14,81
1,1224,1422,133245,4,0,5,0,4,81,0,6,1,15,5,78
1,1002,1511,90370,20,0,16,0,3,61,0,0,0,5,18,77
1,1391,1591,129204,1,0,15,0,7,64,11,1,3,7,17,73
1,1948,1883,174011,5,0,6,2,5,79,1,3,1,6,18,75
1,1633,1453,133998,5,0,8,0,6,78,4,0,3,2,22,74
1,1860,1624,204561,3,0,14,0,2,70,12,0,3,2,18,78
1,1398,1035,111314,19,3,5,0,16,53,3,0,0,18,12,70
2,1101,1099,45507,7,0,0,0,76,6,0,12,52,30,10,8
1,1176,1384,81135,24,0,6,0,20,47,2,1,6,12,21,61
1,1357,1832,160339,2,0,16,0,12,69,0,1,0,0,13,87
1,969,2259,139685,8,0,8,0,9,70,4,2,0,1,15,84
1,1274,1308,140182,4,0,5,0,12,76,0,3,5,5,16,73
1,935,1177,118105,4,0,1,0,7,88,0,0,0,2,13,85
